transaction_id,user_id,timestamp,amount,transaction_type,merchant_category,merchant_id,city,device_id,status,receiver_id
TXN00037414,U01112,2026-01-01 00:08:00,289.59,P2M,Healthcare,M01383,Delhi,D00790,SUCCESS,M01383
TXN00029422,U01252,2026-01-01 00:11:00,77.56,P2M,Fuel,M00389,Ahmedabad,D01414,SUCCESS,M00389
TXN00026757,U00488,2026-01-01 00:11:00,154.65,P2P,P2P,,Mumbai,D04419,SUCCESS,U01599
TXN00005630,U02139,2026-01-01 00:22:00,273.63,P2P,P2P,,Ahmedabad,D03775,SUCCESS,U03408
TXN00009067,U02122,2026-01-01 00:27:00,93.49,P2P,P2P,,Chennai,D03238,SUCCESS,U04199
TXN00027139,U01963,2026-01-01 00:30:00,52.39,P2P,P2P,,Hyderabad,D03057,SUCCESS,U00564
TXN00006019,U01228,2026-01-01 00:31:00,176.75,P2P,P2P,,Ahmedabad,D03707,SUCCESS,U03914
TXN00030113,U01516,2026-01-01 00:32:00,146.43,P2P,P2P,,Kolkata,D01798,SUCCESS,U00414
TXN00043886,U00282,2026-01-01 00:36:00,440.1,P2M,Other,M00072,Delhi,D00211,SUCCESS,M00072
TXN00026251,U00909,2026-01-01 00:44:00,94.62,P2M,Travel,M00382,Delhi,D01563,SUCCESS,M00382
TXN00039012,U00373,2026-01-01 00:45:00,605.65,P2P,P2P,,Delhi,D03840,SUCCESS,U00344
TXN00042809,U03271,2026-01-01 01:00:00,267.3,P2M,Shopping,M00612,Bengaluru,D02355,SUCCESS,M00612
TXN00036685,U02943,2026-01-01 01:01:00,497.8,P2M,Entertainment,M00817,Delhi,D01943,SUCCESS,M00817
TXN00025663,U02097,2026-01-01 01:05:00,232.82,P2P,P2P,,Mumbai,D00976,SUCCESS,U01977
TXN00034244,U00642,2026-01-01 01:07:00,255.59,P2M,Fuel,M00130,Ahmedabad,D00618,SUCCESS,M00130
TXN00046317,U01661,2026-01-01 01:11:00,385.75,P2P,P2P,,Chennai,D03803,SUCCESS,U02794
TXN00046880,U03279,2026-01-01 01:11:00,250.51,P2M,Food,M01477,Delhi,D02473,SUCCESS,M01477
TXN00024782,U04390,2026-01-01 01:12:00,193.75,P2P,P2P,,Kolkata,D01558,SUCCESS,U00634
TXN00048932,U01413,2026-01-01 01:24:00,91.33,P2P,P2P,,Chennai,D03138,SUCCESS,U03971
TXN00007046,U04873,2026-01-01 01:47:00,124.98,P2P,P2P,,Bengaluru,D00242,SUCCESS,U03178
TXN00028452,U03825,2026-01-01 01:48:00,223.89,P2M,Entertainment,M00235,Hyderabad,D00830,SUCCESS,M00235
TXN00020760,U02683,2026-01-01 01:53:00,215.95,P2M,Utilities,M01339,Bengaluru,D01834,SUCCESS,M01339
TXN00038944,U00826,2026-01-01 01:58:00,146.21,P2M,Other,M01240,Pune,D04120,SUCCESS,M01240
TXN00000609,U00644,2026-01-01 02:01:00,44.17,P2M,Shopping,M00778,Ahmedabad,D03678,SUCCESS,M00778
TXN00021490,U02017,2026-01-01 02:03:00,48.26,P2M,Education,M01237,Bengaluru,D00515,PENDING,M01237
TXN00046490,U01397,2026-01-01 02:19:00,203.29,P2M,Fuel,M00309,Hyderabad,D01368,SUCCESS,M00309
TXN00001331,U00856,2026-01-01 02:22:00,735.93,P2M,Food,M01140,Delhi,D02615,SUCCESS,M01140
TXN00023156,U02253,2026-01-01 02:28:00,74.56,P2P,P2P,,Chennai,D03377,SUCCESS,U03138
TXN00001665,U00192,2026-01-01 02:29:00,603.32,P2M,Other,M01036,Kolkata,D03573,SUCCESS,M01036
TXN00017194,U02717,2026-01-01 02:29:00,111.87,P2P,P2P,,Ahmedabad,D04353,SUCCESS,U00706
TXN00037639,U03565,2026-01-01 02:31:00,232.86,P2M,Grocery,M00207,Chennai,D03528,SUCCESS,M00207
TXN00028547,U04268,2026-01-01 02:36:00,69.48,P2M,Other,M00656,Chennai,D03207,SUCCESS,M00656
TXN00024380,U04989,2026-01-01 02:44:00,741.75,P2M,Travel,M01040,Delhi,D02904,SUCCESS,M01040
TXN00007251,U01305,2026-01-01 02:48:00,266.62,P2P,P2P,,Ahmedabad,D01165,SUCCESS,U04350
TXN00033871,U02135,2026-01-01 02:55:00,300.56,P2P,P2P,,Hyderabad,D04407,SUCCESS,U03052
TXN00041133,U01352,2026-01-01 02:56:00,308.17,P2P,P2P,,Bengaluru,D01241,SUCCESS,U01860
TXN00002448,U04406,2026-01-01 02:57:00,164.15,P2M,Travel,M00950,Bengaluru,D00019,SUCCESS,M00950
TXN00030850,U04583,2026-01-01 03:16:00,155.2,P2M,Healthcare,M00526,Pune,D01162,SUCCESS,M00526
TXN00003073,U00076,2026-01-01 03:23:00,237.93,P2M,Other,M00939,Bengaluru,D02554,SUCCESS,M00939
TXN00049318,U04933,2026-01-01 03:25:00,190.45,P2M,Shopping,M00340,Hyderabad,D02599,SUCCESS,M00340
TXN00039724,U04292,2026-01-01 03:33:00,326.95,P2P,P2P,,Hyderabad,D01414,FAILED,U00226
TXN00019174,U00832,2026-01-01 03:34:00,382.19,P2M,Grocery,M00481,Hyderabad,D00647,SUCCESS,M00481
TXN00022484,U00137,2026-01-01 03:43:00,351.41,P2M,Travel,M01391,Bengaluru,D04145,SUCCESS,M01391
TXN00011338,U02985,2026-01-01 04:04:00,108.23,P2P,P2P,,Ahmedabad,D01136,SUCCESS,U04346
TXN00003672,U00730,2026-01-01 04:14:00,420.51,P2M,Travel,M00474,Hyderabad,D00999,SUCCESS,M00474
TXN00040785,U00993,2026-01-01 04:17:00,159.5,P2M,Grocery,M00349,Chennai,D00640,SUCCESS,M00349
TXN00028826,U01127,2026-01-01 04:20:00,309.98,P2P,P2P,,Chennai,D00782,SUCCESS,U04018
TXN00037695,U02461,2026-01-01 04:21:00,117.98,P2P,P2P,,Ahmedabad,D00069,SUCCESS,U00544
TXN00034420,U04869,2026-01-01 04:29:00,160.05,P2P,P2P,,Bengaluru,D00243,SUCCESS,U02463
TXN00045732,U01827,2026-01-01 04:36:00,40.06,P2M,Fuel,M01244,Delhi,D04084,SUCCESS,M01244
TXN00020572,U02152,2026-01-01 04:40:00,138.69,P2M,Fuel,M00695,Kolkata,D02205,SUCCESS,M00695
TXN00016291,U04850,2026-01-01 04:40:00,111.74,P2M,Other,M01116,Delhi,D01162,SUCCESS,M01116
TXN00047392,U02166,2026-01-01 04:56:00,49.42,P2P,P2P,,Hyderabad,D03260,SUCCESS,U00974
TXN00016566,U02575,2026-01-01 05:04:00,207.34,P2P,P2P,,Mumbai,D00266,PENDING,U00884
TXN00007864,U00776,2026-01-01 05:05:00,116.01,P2M,Utilities,M00351,Hyderabad,D03653,SUCCESS,M00351
TXN00003197,U00719,2026-01-01 05:16:00,367.16,P2M,Healthcare,M00097,Kolkata,D02611,SUCCESS,M00097
TXN00029458,U02414,2026-01-01 05:18:00,119.59,P2M,Grocery,M00234,Chennai,D04296,SUCCESS,M00234
TXN00043653,U01620,2026-01-01 05:18:00,371.9,P2P,P2P,,Bengaluru,D01212,SUCCESS,U03460
TXN00008075,U01884,2026-01-01 05:20:00,34.42,P2M,Utilities,M01101,Hyderabad,D01200,SUCCESS,M01101
TXN00031418,U03405,2026-01-01 05:22:00,203.8,P2M,Travel,M00305,Kolkata,D02078,SUCCESS,M00305
TXN00046257,U03212,2026-01-01 05:25:00,405.96,P2P,P2P,,Bengaluru,D01103,SUCCESS,U02169
TXN00011911,U01300,2026-01-01 05:29:00,248.55,P2P,P2P,,Pune,D00486,PENDING,U01573
TXN00043161,U01458,2026-01-01 05:30:00,139.51,P2M,Entertainment,M00204,Mumbai,D00866,SUCCESS,M00204
TXN00048327,U01062,2026-01-01 05:31:00,287.45,P2P,P2P,,Delhi,D03685,SUCCESS,U04506
TXN00009347,U02337,2026-01-01 05:34:00,265.4,P2M,Fuel,M01470,Mumbai,D00565,SUCCESS,M01470
TXN00032772,U00171,2026-01-01 05:38:00,279.08,P2M,Other,M01351,Chennai,D03373,SUCCESS,M01351
TXN00003892,U02252,2026-01-01 05:42:00,328.71,P2P,P2P,,Ahmedabad,D02523,SUCCESS,U03165
TXN00046837,U03024,2026-01-01 05:49:00,480.58,P2M,Other,M00401,Chennai,D03442,SUCCESS,M00401
TXN00013771,U01412,2026-01-01 06:02:00,258.57,P2P,P2P,,Kolkata,D03865,SUCCESS,U04362
TXN00032062,U03686,2026-01-01 06:03:00,994.29,P2M,Fuel,M00794,Delhi,D01577,SUCCESS,M00794
TXN00004341,U00098,2026-01-01 06:10:00,445.86,P2P,P2P,,Pune,D02780,SUCCESS,U04012
TXN00006438,U04914,2026-01-01 06:16:00,157.75,P2M,Other,M00213,Hyderabad,D00613,SUCCESS,M00213
TXN00007560,U04010,2026-01-01 06:18:00,167.08,P2M,Healthcare,M00261,Chennai,D03360,SUCCESS,M00261
TXN00016862,U02505,2026-01-01 06:23:00,430.02,P2M,Entertainment,M01256,Kolkata,D02187,SUCCESS,M01256
TXN00017350,U00175,2026-01-01 06:24:00,189.66,P2P,P2P,,Ahmedabad,D01823,PENDING,U01946
TXN00048273,U02122,2026-01-01 06:33:00,487.62,P2P,P2P,,Chennai,D03238,SUCCESS,U02565
TXN00020918,U00154,2026-01-01 06:54:00,81.7,P2P,P2P,,Kolkata,D00030,SUCCESS,U03797
TXN00000928,U01842,2026-01-01 06:55:00,276.06,P2M,Food,M00916,Kolkata,D02797,SUCCESS,M00916
TXN00037653,U01056,2026-01-01 07:00:00,430.72,P2P,P2P,,Mumbai,D03794,SUCCESS,U00828
TXN00002905,U03189,2026-01-01 07:04:00,55.17,P2P,P2P,,Bengaluru,D03337,SUCCESS,U04163
TXN00026978,U00790,2026-01-01 07:06:00,1164.32,P2M,Shopping,M00940,Mumbai,D03686,SUCCESS,M00940
TXN00019162,U00952,2026-01-01 07:09:00,261.91,P2P,P2P,,Kolkata,D01435,SUCCESS,U01450
TXN00006637,U00164,2026-01-01 07:11:00,277.29,P2M,Shopping,M01380,Kolkata,D02932,SUCCESS,M01380
TXN00007926,U02094,2026-01-01 07:18:00,333.83,P2M,Entertainment,M01285,Chennai,D03963,SUCCESS,M01285
TXN00039108,U04112,2026-01-01 07:32:00,2569.38,P2M,Healthcare,M01288,Hyderabad,D03942,SUCCESS,M01288
TXN00043772,U02439,2026-01-01 07:35:00,205.52,P2P,P2P,,Chennai,D00199,SUCCESS,U02629
TXN00017347,U00421,2026-01-01 07:36:00,118.55,P2M,Travel,M01205,Hyderabad,D00022,SUCCESS,M01205
TXN00011671,U04885,2026-01-01 07:37:00,50.84,P2P,P2P,,Pune,D00843,SUCCESS,U04763
